pid,stim,hole_width,hole_class,condition,trial,goes_in,num_bounces,response,rt
0095f15b,B_2_7,100,far miss,7,11,False,2,False,5.751
0095f15b,B_2_8,200,far miss,7,25,False,2,False,0.883
0095f15b,B_2_9,100,far in,7,27,True,2,False,1.38
010e7a86,B_0_0,200,close in,3,50,True,0,True,0.738
010e7a86,B_0_1,100,close miss,3,36,False,0,False,0.9
010e7a86,B_0_10,200,close miss,3,46,False,0,True,0.958
010e7a86,B_0_11,100,far miss,3,19,False,0,False,0.9
010e7a86,B_0_12,200,far miss,3,24,False,0,False,0.631
010e7a86,B_0_13,100,far in,3,39,True,0,True,1.093
010e7a86,B_0_14,200,far in,3,37,True,0,True,1.042
010e7a86,B_0_15,100,close in,3,29,True,0,True,6.72
010e7a86,B_0_2,200,close miss,3,20,False,0,True,1.22
010e7a86,B_0_3,100,far miss,3,11,False,0,False,6.192
010e7a86,B_0_4,200,far miss,3,8,False,0,False,5.303999999999999
010e7a86,B_0_5,100,far in,3,34,True,0,True,1.068
010e7a86,B_0_6,200,far in,3,25,True,0,True,1.023
010e7a86,B_0_7,100,close in,3,43,True,0,True,23.476
010e7a86,B_0_8,200,close in,3,32,True,0,True,1.425
010e7a86,B_0_9,100,close miss,3,23,False,0,False,6.82
010e7a86,B_1_0,200,close in,3,6,True,1,False,6.818
010e7a86,B_1_1,100,close miss,3,30,False,1,False,8.894
010e7a86,B_1_10,200,close miss,3,3,False,1,False,5.8229999999999995
010e7a86,B_1_11,100,far miss,3,13,False,1,False,0.914
010e7a86,B_1_12,200,far miss,3,33,False,1,False,1.7409999999999999
010e7a86,B_1_13,100,far in,3,48,True,1,True,1.262
010e7a86,B_1_14,200,far in,3,40,True,1,True,1.409
010e7a86,B_1_15,100,close in,3,52,True,1,True,1.746
010e7a86,B_1_2,200,close miss,3,26,False,1,False,5.175
010e7a86,B_1_3,100,far miss,3,15,False,1,False,2.07
010e7a86,B_1_4,200,far miss,3,17,False,1,False,1.002
010e7a86,B_1_5,100,far in,3,38,True,1,False,8.127
010e7a86,B_1_6,200,far in,3,5,True,1,True,4.2410000000000005
010e7a86,B_1_7,100,close in,3,41,True,1,False,7.665
010e7a86,B_1_8,200,close in,3,53,True,1,False,8.321
010e7a86,B_1_9,100,close miss,3,1,False,1,False,5.039
010e7a86,B_2_0,200,close in,3,22,True,2,True,3.36
010e7a86,B_2_1,100,close miss,3,51,False,2,True,2.233
010e7a86,B_2_10,200,close miss,3,2,False,2,True,1.798
010e7a86,B_2_11,100,far miss,3,47,False,2,False,1.706
010e7a86,B_2_12,200,far miss,3,54,False,2,False,3.722
010e7a86,B_2_13,100,far in,3,4,True,2,True,19.948
010e7a86,B_2_14,200,far in,3,18,True,2,True,2.404
010e7a86,B_2_15,100,close in,3,31,True,2,True,9.057
010e7a86,B_2_2,200,close miss,3,9,False,2,False,7.121
010e7a86,B_2_3,100,far miss,3,27,False,2,False,1.892
010e7a86,B_2_4,200,far miss,3,16,False,2,False,1.002
010e7a86,B_2_5,100,far in,3,55,True,2,True,2.677
010e7a86,B_2_6,200,far in,3,10,True,2,True,4.61
010e7a86,B_2_7,100,close in,3,44,True,2,True,1.733
010e7a86,B_2_8,200,close in,3,45,True,2,False,1.433
010e7a86,B_2_9,100,close miss,3,12,False,2,True,4.123
0116df42,B_0_0,100,far in,0,10,True,0,True,0.992
0116df42,B_0_1,200,far in,0,30,True,0,True,1.026
0116df42,B_0_10,100,close in,0,52,True,0,True,1.156
0116df42,B_0_11,200,close in,0,41,True,0,True,1.091
0116df42,B_0_12,100,close miss,0,12,False,0,False,3.889
0116df42,B_0_13,200,close miss,0,13,False,0,True,0.893
0116df42,B_0_14,100,far miss,0,29,False,0,False,1.635
0116df42,B_0_15,200,far miss,0,8,False,0,True,6.055
0116df42,B_0_2,100,close in,0,18,True,0,True,0.574
0116df42,B_0_3,200,close in,0,44,True,0,True,0.643
0116df42,B_0_4,100,close miss,0,16,False,0,False,1.993
0116df42,B_0_5,200,close miss,0,2,False,0,False,2.667
0116df42,B_0_6,100,far miss,0,38,False,0,False,1.079
0116df42,B_0_7,200,far miss,0,45,False,0,False,2.445
0116df42,B_0_8,100,far in,0,36,True,0,True,0.9109999999999999
0116df42,B_0_9,200,far in,0,40,True,0,True,0.86
0116df42,B_1_0,100,far in,0,4,True,1,False,6.601
0116df42,B_1_1,200,far in,0,5,True,1,False,2.66
0116df42,B_1_10,100,close in,0,27,True,1,True,1.276
0116df42,B_1_11,200,close in,0,23,True,1,True,0.613
0116df42,B_1_12,100,close miss,0,32,False,1,True,0.752
0116df42,B_1_13,200,close miss,0,24,False,1,True,0.491
0116df42,B_1_14,100,far miss,0,47,False,1,False,1.075
0116df42,B_1_15,200,far miss,0,46,False,1,False,1.983
0116df42,B_1_2,100,close in,0,9,True,1,True,1.551
0116df42,B_1_3,200,close in,0,55,True,1,True,2.865
0116df42,B_1_4,100,close miss,0,34,False,1,True,0.62
0116df42,B_1_5,200,close miss,0,53,False,1,False,0.9
0116df42,B_1_6,100,far miss,0,43,False,1,False,0.96
0116df42,B_1_7,200,far miss,0,20,False,1,False,1.3869999999999998
0116df42,B_1_8,100,far in,0,17,True,1,True,0.534
0116df42,B_1_9,200,far in,0,39,True,1,True,0.581
0116df42,B_2_0,100,far in,0,3,True,2,True,5.145
0116df42,B_2_1,200,far in,0,1,True,2,True,7.202999999999999
0116df42,B_2_10,100,close in,0,50,True,2,True,2.327
0116df42,B_2_11,200,close in,0,33,True,2,False,1.547
0116df42,B_2_12,100,close miss,0,51,False,2,False,0.643
0116df42,B_2_13,200,close miss,0,26,False,2,False,1.893
0116df42,B_2_14,100,far miss,0,31,False,2,False,1.102
0116df42,B_2_15,200,far miss,0,19,False,2,True,1.5390000000000001
0116df42,B_2_2,100,close in,0,6,True,2,False,1.433
0116df42,B_2_3,200,close in,0,11,True,2,True,5.9110000000000005
0116df42,B_2_4,100,close miss,0,22,False,2,True,3.2110000000000003
0116df42,B_2_5,200,close miss,0,37,False,2,False,2.188
0116df42,B_2_6,100,far miss,0,48,False,2,False,0.9229999999999999
0116df42,B_2_7,200,far miss,0,54,False,2,False,1.4409999999999998
0116df42,B_2_8,100,far in,0,15,True,2,True,4.112
0116df42,B_2_9,200,far in,0,25,True,2,True,0.659
02b3e7f9,B_0_0,100,far miss,6,23,False,0,False,0.48
02b3e7f9,B_0_1,200,far miss,6,5,False,0,False,1.148
02b3e7f9,B_0_10,100,far in,6,22,True,0,True,0.503
02b3e7f9,B_0_11,200,far in,6,41,True,0,True,0.536
02b3e7f9,B_0_12,100,close in,6,33,True,0,True,0.667
02b3e7f9,B_0_13,200,close in,6,32,True,0,True,0.49700000000000005
02b3e7f9,B_0_14,100,close miss,6,40,False,0,True,1.59
02b3e7f9,B_0_15,200,close miss,6,2,False,0,False,2.1109999999999998
02b3e7f9,B_0_2,100,far in,6,18,True,0,True,0.565
02b3e7f9,B_0_3,200,far in,6,6,True,0,True,0.613
02b3e7f9,B_0_4,100,close in,6,29,True,0,True,1.328
02b3e7f9,B_0_5,200,close in,6,15,True,0,True,0.64
02b3e7f9,B_0_6,100,close miss,6,36,False,0,True,1.2309999999999999
02b3e7f9,B_0_7,200,close miss,6,46,False,0,False,0.591
02b3e7f9,B_0_8,100,far miss,6,9,False,0,False,0.528
02b3e7f9,B_0_9,200,far miss,6,39,False,0,False,0.342
02b3e7f9,B_1_0,100,far miss,6,38,False,1,False,0.62
02b3e7f9,B_1_1,200,far miss,6,25,False,1,False,0.8640000000000001
02b3e7f9,B_1_10,100,far in,6,47,True,1,True,0.48200000000000004
02b3e7f9,B_1_11,200,far in,6,34,True,1,True,0.429
02b3e7f9,B_1_12,100,close in,6,19,True,1,True,1.317
02b3e7f9,B_1_13,200,close in,6,52,True,1,True,0.45299999999999996
02b3e7f9,B_1_14,100,close miss,6,31,False,1,False,1.405
02b3e7f9,B_1_15,200,close miss,6,16,False,1,False,0.62
02b3e7f9,B_1_2,100,far in,6,8,True,1,True,0.7490000000000001
02b3e7f9,B_1_3,200,far in,6,45,True,1,True,0.354
02b3e7f9,B_1_4,100,close in,6,50,True,1,True,1.429
02b3e7f9,B_1_5,200,close in,6,24,True,1,False,1.361
02b3e7f9,B_1_6,100,close miss,6,53,False,1,False,0.401
02b3e7f9,B_1_7,200,close miss,6,37,False,1,True,1.3359999999999999
02b3e7f9,B_1_8,100,far miss,6,20,False,1,False,0.541
02b3e7f9,B_1_9,200,far miss,6,10,False,1,False,0.765
02b3e7f9,B_2_0,100,far miss,6,1,False,2,False,1.163
02b3e7f9,B_2_1,200,far miss,6,54,False,2,False,0.998
02b3e7f9,B_2_10,100,far in,6,3,True,2,True,1.9909999999999999
02b3e7f9,B_2_11,200,far in,6,27,True,2,True,1.22
02b3e7f9,B_2_12,100,close in,6,30,True,2,True,1.003
02b3e7f9,B_2_13,200,close in,6,51,True,2,True,0.156
02b3e7f9,B_2_14,100,close miss,6,43,False,2,True,1.5590000000000002
02b3e7f9,B_2_15,200,close miss,6,17,False,2,False,1.023
02b3e7f9,B_2_2,100,far in,6,4,True,2,False,1.659
02b3e7f9,B_2_3,200,far in,6,48,True,2,True,1.358
02b3e7f9,B_2_4,100,close in,6,26,True,2,True,0.9940000000000001
02b3e7f9,B_2_5,200,close in,6,11,True,2,True,1.3330000000000002
02b3e7f9,B_2_6,100,close miss,6,12,False,2,False,0.93
02b3e7f9,B_2_7,200,close miss,6,13,False,2,False,0.716
02b3e7f9,B_2_8,100,far miss,6,44,False,2,False,0.7090000000000001
02b3e7f9,B_2_9,200,far miss,6,55,False,2,False,0.521
02f73e20,B_0_0,200,close in,3,3,True,0,True,0.86
02f73e20,B_0_1,100,close miss,3,19,False,0,False,1.3159999999999998
02f73e20,B_0_10,200,close miss,3,53,False,0,True,0.5670000000000001
02f73e20,B_0_11,100,far miss,3,30,False,0,False,1.5959999999999999
02f73e20,B_0_12,200,far miss,3,34,False,0,False,1.675
02f73e20,B_0_13,100,far in,3,33,True,0,True,0.732
02f73e20,B_0_14,200,far in,3,43,True,0,True,0.551
02f73e20,B_0_15,100,close in,3,26,True,0,True,0.972
02f73e20,B_0_2,200,close miss,3,36,False,0,True,1.403
02f73e20,B_0_3,100,far miss,3,24,False,0,False,3.1689999999999996
02f73e20,B_0_4,200,far miss,3,50,False,0,False,1.185
02f73e20,B_0_5,100,far in,3,17,True,0,True,0.64
02f73e20,B_0_6,200,far in,3,40,True,0,True,0.485
02f73e20,B_0_7,100,close in,3,48,True,0,True,0.524
02f73e20,B_0_8,200,close in,3,8,True,0,True,1.71
02f73e20,B_0_9,100,close miss,3,4,False,0,False,0.738
02f73e20,B_1_0,200,close in,3,20,True,1,True,0.8140000000000001
02f73e20,B_1_1,100,close miss,3,1,False,1,True,0.878
02f73e20,B_1_10,200,close miss,3,23,False,1,True,1.693
02f73e20,B_1_11,100,far miss,3,18,False,1,False,2.679
02f73e20,B_1_12,200,far miss,3,55,False,1,False,1.0090000000000001
02f73e20,B_1_13,100,far in,3,10,True,1,True,2.403
02f73e20,B_1_14,200,far in,3,47,True,1,True,2.374
02f73e20,B_1_15,100,close in,3,31,True,1,True,2.177
02f73e20,B_1_2,200,close miss,3,44,False,1,True,1.375
02f73e20,B_1_3,100,far miss,3,6,False,1,False,1.355
02f73e20,B_1_4,200,far miss,3,9,False,1,True,2.345
02f73e20,B_1_5,100,far in,3,38,True,1,True,2.22
02f73e20,B_1_6,200,far in,3,11,True,1,True,1.003
02f73e20,B_1_7,100,close in,3,13,True,1,True,0.8140000000000001
02f73e20,B_1_8,200,close in,3,39,True,1,True,0.986
02f73e20,B_1_9,100,close miss,3,37,False,1,True,2.784
02f73e20,B_2_0,200,close in,3,54,True,2,True,2.177
02f73e20,B_2_1,100,close miss,3,15,False,2,False,1.36
02f73e20,B_2_10,200,close miss,3,25,False,2,False,1.788
02f73e20,B_2_11,100,far miss,3,27,False,2,False,2.88
02f73e20,B_2_12,200,far miss,3,41,False,2,True,1.476
02f73e20,B_2_13,100,far in,3,29,True,2,False,2.125
02f73e20,B_2_14,200,far in,3,52,True,2,True,1.075
02f73e20,B_2_15,100,close in,3,22,True,2,False,1.83
02f73e20,B_2_2,200,close miss,3,5,False,2,False,3.0669999999999997
02f73e20,B_2_3,100,far miss,3,12,False,2,True,2.904
02f73e20,B_2_4,200,far miss,3,32,False,2,False,3.793
02f73e20,B_2_5,100,far in,3,45,True,2,True,1.599
02f73e20,B_2_6,200,far in,3,51,True,2,True,1.078
02f73e20,B_2_7,100,close in,3,46,True,2,False,1.534
02f73e20,B_2_8,200,close in,3,16,True,2,True,1.645
02f73e20,B_2_9,100,close miss,3,2,False,2,True,1.121
0337e679,B_0_0,100,close miss,4,40,False,0,False,2.311
0337e679,B_0_1,200,close miss,4,50,False,0,False,11.775
0337e679,B_0_10,100,far miss,4,11,False,0,False,2.403
0337e679,B_0_11,200,far miss,4,3,False,0,False,2.859
0337e679,B_0_12,100,far in,4,51,True,0,True,7.3
0337e679,B_0_13,200,far in,4,25,True,0,True,0.8079999999999999
0337e679,B_0_14,100,close in,4,19,True,0,False,2.5639999999999996
0337e679,B_0_15,200,close in,4,30,True,0,False,5.9879999999999995
0337e679,B_0_2,100,far miss,4,20,False,0,False,1.334
0337e679,B_0_3,200,far miss,4,41,False,0,False,1.011
0337e679,B_0_4,100,far in,4,46,True,0,True,0.6609999999999999
0337e679,B_0_5,200,far in,4,13,True,0,True,0.873
0337e679,B_0_6,100,close in,4,43,True,0,True,0.991
0337e679,B_0_7,200,close in,4,39,True,0,True,1.469
0337e679,B_0_8,100,close miss,4,8,False,0,False,2.972
0337e679,B_0_9,200,close miss,4,29,False,0,False,1.23
0337e679,B_1_0,100,close miss,4,55,False,1,True,0.9059999999999999
0337e679,B_1_1,200,close miss,4,38,False,1,True,0.619
0337e679,B_1_10,100,far miss,4,48,False,1,False,1.7990000000000002
0337e679,B_1_11,200,far miss,4,9,False,1,True,1.1159999999999999
0337e679,B_1_12,100,far in,4,1,True,1,True,1.494
0337e679,B_1_13,200,far in,4,33,True,1,True,0.723
0337e679,B_1_14,100,close in,4,24,True,1,True,2.109
0337e679,B_1_15,200,close in,4,10,True,1,False,7.24
0337e679,B_1_2,100,far miss,4,54,False,1,False,1.4969999999999999
0337e679,B_1_3,200,far miss,4,52,False,1,False,4.467
0337e679,B_1_4,100,far in,4,26,True,1,False,2.177
0337e679,B_1_5,200,far in,4,37,True,1,True,1.048
0337e679,B_1_6,100,close in,4,45,True,1,True,1.305
0337e679,B_1_7,200,close in,4,31,True,1,True,6.356
0337e679,B_1_8,100,close miss,4,18,False,1,True,1.093
0337e679,B_1_9,200,close miss,4,53,False,1,True,3.3489999999999998
0337e679,B_2_0,100,close miss,4,44,False,2,True,0.924
0337e679,B_2_1,200,close miss,4,12,False,2,False,2.508
0337e679,B_2_10,100,far miss,4,23,False,2,False,1.595
0337e679,B_2_11,200,far miss,4,36,False,2,True,1.044
0337e679,B_2_12,100,far in,4,15,True,2,True,3.055
0337e679,B_2_13,200,far in,4,17,True,2,True,0.479
0337e679,B_2_14,100,close in,4,5,True,2,True,1.6340000000000001
0337e679,B_2_15,200,close in,4,4,True,2,True,1.587
0337e679,B_2_2,100,far miss,4,27,False,2,True,0.643
0337e679,B_2_3,200,far miss,4,6,False,2,False,2.039
0337e679,B_2_4,100,far in,4,16,True,2,False,2.029
0337e679,B_2_5,200,far in,4,22,True,2,True,0.768
0337e679,B_2_6,100,close in,4,47,True,2,False,2.18
0337e679,B_2_7,200,close in,4,32,True,2,True,0.93
0337e679,B_2_8,100,close miss,4,34,False,2,False,0.9620000000000001
0337e679,B_2_9,200,close miss,4,2,False,2,False,2.456
059a5775,B_0_0,200,far in,1,4,True,0,True,1.4380000000000002
059a5775,B_0_1,100,close in,1,30,True,0,True,1.6219999999999999
059a5775,B_0_10,200,close in,1,16,True,0,True,0.44299999999999995
059a5775,B_0_11,100,close miss,1,37,False,0,True,1.083
059a5775,B_0_12,200,close miss,1,40,False,0,False,1.5190000000000001
059a5775,B_0_13,100,far miss,1,3,False,0,False,2.5469999999999997
059a5775,B_0_14,200,far miss,1,10,False,0,False,1.193
059a5775,B_0_15,100,far in,1,18,True,0,True,0.888
059a5775,B_0_2,200,close in,1,38,True,0,True,2.029
059a5775,B_0_3,100,close miss,1,45,False,0,False,1.601
059a5775,B_0_4,200,close miss,1,39,False,0,True,0.812
059a5775,B_0_5,100,far miss,1,48,False,0,False,1.496
059a5775,B_0_6,200,far miss,1,19,False,0,True,3.19
059a5775,B_0_7,100,far in,1,1,True,0,True,2.239
059a5775,B_0_8,200,far in,1,15,True,0,True,1.609
059a5775,B_0_9,100,close in,1,26,True,0,True,2.211
059a5775,B_1_0,200,far in,1,11,True,1,False,1.734
059a5775,B_1_1,100,close in,1,32,True,1,True,2.4
059a5775,B_1_10,200,close in,1,51,True,1,False,1.254
059a5775,B_1_11,100,close miss,1,20,False,1,True,2.142
059a5775,B_1_12,200,close miss,1,46,False,1,False,1.385
059a5775,B_1_13,100,far miss,1,43,False,1,True,4.31
059a5775,B_1_14,200,far miss,1,36,False,1,True,5.051
059a5775,B_1_15,100,far in,1,25,True,1,False,2.971
059a5775,B_1_2,200,close in,1,13,True,1,True,0.93
059a5775,B_1_3,100,close miss,1,22,False,1,True,1.555
059a5775,B_1_4,200,close miss,1,52,False,1,False,2.37
059a5775,B_1_5,100,far miss,1,12,False,1,False,2.193
059a5775,B_1_6,200,far miss,1,44,False,1,True,1.771
059a5775,B_1_7,100,far in,1,41,True,1,False,1.944
059a5775,B_1_8,200,far in,1,29,True,1,True,1.9240000000000002
059a5775,B_1_9,100,close in,1,5,True,1,False,2.059
059a5775,B_2_0,200,far in,1,8,True,2,True,1.2429999999999999
059a5775,B_2_1,100,close in,1,33,True,2,False,2.5540000000000003
059a5775,B_2_10,200,close in,1,55,True,2,True,2.528
059a5775,B_2_11,100,close miss,1,27,False,2,False,2.66
059a5775,B_2_12,200,close miss,1,34,False,2,True,4.379
059a5775,B_2_13,100,far miss,1,2,False,2,True,1.6669999999999998
059a5775,B_2_14,200,far miss,1,50,False,2,True,3.4619999999999997
059a5775,B_2_15,100,far in,1,53,True,2,True,2.373
059a5775,B_2_2,200,close in,1,54,True,2,False,1.4580000000000002
059a5775,B_2_3,100,close miss,1,17,False,2,True,2.4730000000000003
059a5775,B_2_4,200,close miss,1,24,False,2,True,1.78
059a5775,B_2_5,100,far miss,1,31,False,2,True,1.689
059a5775,B_2_6,200,far miss,1,47,False,2,False,1.805
059a5775,B_2_7,100,far in,1,6,True,2,True,3.0069999999999997
059a5775,B_2_8,200,far in,1,9,True,2,True,0.516
059a5775,B_2_9,100,close in,1,23,True,2,True,2.924
06e54e89,B_0_0,100,close in,2,53,True,0,True,0.733
06e54e89,B_0_1,200,close in,2,19,True,0,True,2.6069999999999998
06e54e89,B_0_10,100,close miss,2,22,False,0,True,0.672
06e54e89,B_0_11,200,close miss,2,20,False,0,True,1.3519999999999999
06e54e89,B_0_12,100,far miss,2,5,False,0,False,1.159
06e54e89,B_0_13,200,far miss,2,3,False,0,False,1.574
06e54e89,B_0_14,100,far in,2,9,True,0,True,0.815
06e54e89,B_0_15,200,far in,2,25,True,0,True,0.44
06e54e89,B_0_2,100,close miss,2,46,False,0,False,1.005
06e54e89,B_0_3,200,close miss,2,11,False,0,False,2.944
06e54e89,B_0_4,100,far miss,2,30,False,0,False,1.204
06e54e89,B_0_5,200,far miss,2,43,False,0,False,0.7020000000000001
06e54e89,B_0_6,100,far in,2,40,True,0,False,0.892
06e54e89,B_0_7,200,far in,2,2,True,0,True,1.409
06e54e89,B_0_8,100,close in,2,27,True,0,True,0.955
06e54e89,B_0_9,200,close in,2,41,True,0,True,1.173
06e54e89,B_1_0,100,close in,2,45,True,1,False,2.1630000000000003
06e54e89,B_1_1,200,close in,2,33,True,1,True,0.5579999999999999
06e54e89,B_1_10,100,close miss,2,17,False,1,False,1.423
06e54e89,B_1_11,200,close miss,2,16,False,1,True,0.431
06e54e89,B_1_12,100,far miss,2,36,False,1,False,1.598
06e54e89,B_1_13,200,far miss,2,54,False,1,True,0.938
06e54e89,B_1_14,100,far in,2,51,True,1,True,1.567
06e54e89,B_1_15,200,far in,2,1,True,1,True,2.436
06e54e89,B_1_2,100,close miss,2,23,False,1,True,1.284
06e54e89,B_1_3,200,close miss,2,31,False,1,True,2.004
06e54e89,B_1_4,100,far miss,2,24,False,1,False,0.596
06e54e89,B_1_5,200,far miss,2,52,False,1,False,1.9480000000000002
06e54e89,B_1_6,100,far in,2,4,True,1,False,3.37
06e54e89,B_1_7,200,far in,2,10,True,1,True,0.748
06e54e89,B_1_8,100,close in,2,15,True,1,False,0.59
06e54e89,B_1_9,200,close in,2,48,True,1,False,1.7930000000000001
06e54e89,B_2_0,100,close in,2,29,True,2,False,1.2919999999999998
06e54e89,B_2_1,200,close in,2,39,True,2,True,1.06
06e54e89,B_2_10,100,close miss,2,32,False,2,False,1.072
06e54e89,B_2_11,200,close miss,2,50,False,2,True,0.7120000000000001
06e54e89,B_2_12,100,far miss,2,18,False,2,True,0.485
06e54e89,B_2_13,200,far miss,2,26,False,2,True,0.655
06e54e89,B_2_14,100,far in,2,37,True,2,True,0.5479999999999999
06e54e89,B_2_15,200,far in,2,55,True,2,False,1.811
06e54e89,B_2_2,100,close miss,2,6,False,2,True,1.082
06e54e89,B_2_3,200,close miss,2,38,False,2,True,1.136
06e54e89,B_2_4,100,far miss,2,44,False,2,False,1.3630000000000002
06e54e89,B_2_5,200,far miss,2,34,False,2,False,1.69
06e54e89,B_2_6,100,far in,2,13,True,2,False,2.0
06e54e89,B_2_7,200,far in,2,8,True,2,True,1.263
06e54e89,B_2_8,100,close in,2,12,True,2,True,1.19
06e54e89,B_2_9,200,close in,2,47,True,2,True,0.52
072539c2,B_0_0,200,close miss,5,4,False,0,False,1.53
072539c2,B_0_1,100,far miss,5,19,False,0,False,0.501
072539c2,B_0_10,200,far miss,5,27,False,0,False,0.802
072539c2,B_0_11,100,far in,5,33,True,0,True,0.8759999999999999
072539c2,B_0_12,200,far in,5,12,True,0,True,0.462
072539c2,B_0_13,100,close in,5,23,True,0,False,0.883
072539c2,B_0_14,200,close in,5,41,True,0,True,2.372
072539c2,B_0_15,100,close miss,5,25,False,0,False,1.831
072539c2,B_0_2,200,far miss,5,38,False,0,False,0.982
072539c2,B_0_3,100,far in,5,6,True,0,True,1.9469999999999998
072539c2,B_0_4,200,far in,5,9,True,0,True,3.1510000000000002
072539c2,B_0_5,100,close in,5,44,True,0,True,1.128
072539c2,B_0_6,200,close in,5,10,True,0,True,0.883
072539c2,B_0_7,100,close miss,5,1,False,0,False,1.8459999999999999
072539c2,B_0_8,200,close miss,5,2,False,0,False,1.345
072539c2,B_0_9,100,far miss,5,8,False,0,False,0.619
072539c2,B_1_0,200,close miss,5,43,False,1,False,1.141
072539c2,B_1_1,100,far miss,5,50,False,1,False,1.278
072539c2,B_1_10,200,far miss,5,20,False,1,False,0.515
072539c2,B_1_11,100,far in,5,13,True,1,True,5.606
072539c2,B_1_12,200,far in,5,24,True,1,True,1.42
072539c2,B_1_13,100,close in,5,48,True,1,False,0.831
072539c2,B_1_14,200,close in,5,34,True,1,True,0.653
072539c2,B_1_15,100,close miss,5,31,False,1,False,3.7430000000000003
072539c2,B_1_2,200,far miss,5,15,False,1,True,0.348
072539c2,B_1_3,100,far in,5,52,True,1,False,1.923
072539c2,B_1_4,200,far in,5,32,True,1,True,0.884
072539c2,B_1_5,100,close in,5,5,True,1,True,1.214
072539c2,B_1_6,200,close in,5,30,True,1,True,3.3080000000000003
072539c2,B_1_7,100,close miss,5,40,False,1,False,1.7519999999999998
072539c2,B_1_8,200,close miss,5,17,False,1,False,2.585
072539c2,B_1_9,100,far miss,5,11,False,1,False,0.755
072539c2,B_2_0,200,close miss,5,37,False,2,False,4.508
072539c2,B_2_1,100,far miss,5,29,False,2,False,3.2
072539c2,B_2_10,200,far miss,5,45,False,2,True,4.811
072539c2,B_2_11,100,far in,5,47,True,2,False,1.196
072539c2,B_2_12,200,far in,5,46,True,2,False,1.206
072539c2,B_2_13,100,close in,5,54,True,2,False,1.294
072539c2,B_2_14,200,close in,5,36,True,2,True,4.456
072539c2,B_2_15,100,close miss,5,55,False,2,True,1.7
072539c2,B_2_2,200,far miss,5,39,False,2,False,1.575
072539c2,B_2_3,100,far in,5,22,True,2,False,0.758
072539c2,B_2_4,200,far in,5,18,True,2,False,0.662
072539c2,B_2_5,100,close in,5,51,True,2,False,1.848
072539c2,B_2_6,200,close in,5,53,True,2,True,1.517
072539c2,B_2_7,100,close miss,5,16,False,2,False,1.6780000000000002
